name,start,end
exon_01,0, 93
exon_02,1268,1348
exon_03,9585,9639
exon_04,18831,18909
exon_05,20408,20497
exon_06,21103,21243
exon_07,25484,25590
exon_09,29442,29519
exon_11,34332,34421
exon_12,42789,42961
exon_13,48750,48877
exon_14,50843,51034
exon_15,54126,54437
exon_16,57669,57757
exon_17,61413,61491
exon_18,61991,62032
exon_19,68229,68313
